index	SequenceA	SequenceB
92	M11546.1_4-118	X00020.1_1-119
93	M76579.1_4-118	K02344.1_1-118
94	X13663.1_1-117	X73589.1_1-118
95	AB001721.1_2735-2851	X00864.1_1-119
96	D13621.1_3-119	M27961.1_79-196
97	K02350.1_1-119	Z35330.1_6121-6235
98	X01590.1_5-121	X05535.1_1-118
99	Z50055.1_3-119	X00865.1_1-119
100	M16205.1_4-122	AF331021.1_183-301
101	X13222.1_1-121	M36155.1_1-117
102	X52052.1_4-118	M33887.1_1-111
103	X01588.1_5-119	X05053.1_3-118
104	M58383.1_4-115	Z11820.1_5-112
105	M11540.1_3-116	X06847.1_1-119
106	X05528.1_1-121	AJ131586.1_3-115
107	X68666.1_1-122	X12886.1_1-117
108	X52299.1_5-122	X02031.1_1-118
109	L37445.1_4-118	X13034.1_1-119
110	X02248.1_3-118	X16634.1_937-1057
111	L37449.1_4-118	AJ312082.1_1-119
112	X06833.1_1-115	X52298.1_2-113
113	M35574.1_1-119	X00081.1_2-117
114	M10435.1_2-120	X02628.1_2-114
115	J01888.1_1-119	M76573.1_4-118
116	X02627.1_4-118	X02706.1_2-120
117	M10438.1_2-120	Z50069.1_4-120
118	X05525.1_1-116	M58368.1_1-118
119	Z50076.1_4-120	M10850.1_361-479
120	X02628.1_2-114	M36313.1_2-120
121	X16851.1_1-119	U09230.1_4482-4597
122	K02349.1_1-119	X16191.1_4-119
123	D13621.1_3-119	X00020.1_1-119
124	M58368.1_1-118	X13663.1_1-117
125	M76577.1_4-118	X06836.1_1-119
126	K03161.1_1-118	X62865.1_3-123
127	X13035.1_1-119	M34773.1_1-114
128	X13662.1_1-116	X01570.1_1-119
129	X00074.1_1-118	M16532.1_2-117
130	M36312.1_2-120	X15329.1_3-123
131	X05057.1_3-119	X52052.1_4-118
132	X52048.1_2-120	X62862.1_2-123
133	X05527.1_1-120	L08897.1_5770-5874
134	D00063.1_1-121	AJ131601.1_3-115
135	M35563.1_5-120	X00999.1_1-121
136	AL445066.1_280290-280410	X15180.1_3-118
137	M76573.1_4-118	K02362.1_1-121
138	S43413.1_98-213	D10525.1_1-120
139	U26684.1_296-411	X15329.1_3-123
140	M35165.1_2-110	M58384.1_1-118
141	M16074.1_307-425	Z50077.1_4-121
142	M33890.1_5-120	X00996.1_1-119
143	X16688.1_41-159	M36186.1_5-125
144	AJ131591.1_3-116	X06837.1_1-119
145	AJ243001.2_1-116	X06687.1_3-118
146	X00022.1_1-119	M36187.1_5-126
147	M38645.1_2-120	AF170176.1_1092-1207
148	M35166.1_2-110	X13040.1_1-118
149	V01420.1_2-120	X02249.1_3-117
150	M28975.1_65-183	AJ131589.1_3-115
151	AJ131588.1_3-114	M36309.1_1-120
152	X00692.1_1-119	X14441.1_5-123
153	X01590.1_5-121	X00867.1_1-119
154	X05517.1_3-118	K02345.1_1-118
155	AF454951.1_1084-1198	X06834.1_1-119
156	M34775.1_1-115	D00058.1_1-118
157	Z11820.1_5-112	X01484.1_2-120
158	X00501.1_7-121	X57691.1_1-116
159	X06847.1_1-119	X02631.1_2-115
160	X07545.1_505-619	X06104.1_1-119
161	AF101250.1_1-119	U05019.1_544-658
162	M58387.1_5-112	M59339.1_3-119
163	X00574.1_1-118	X02239.1_3-118
164	X06103.1_1-119	X05081.1_5-114
165	X05533.1_1-118	M34763.1_3-117
166	X02731.1_3-119	D10528.1_1-121
167	M36307.1_1-119	Z11819.1_3-116
168	X00757.1_2-119	M16074.1_307-425
169	L12402.1_3-117	M10817.1_1-119
170	X06996.1_1-118	AE000007.2_3022-3129
171	D90255.1_422-538	K02350.1_1-119
172	X00689.1_1-119	M58416.1_2-116
173	D10532.1_1-120	Z11823.1_1-116
174	K01389.1_140-255	X12624.1_61-178
175	X02713.1_1-117	K03161.1_1-118
176	M76388.1_6142-6258	M10433.1_1-119
177	X13040.1_1-118	Z50056.1_3-119
178	X65710.1_35-152	M35566.1_3-117
179	D10534.1_1-121	X05052.1_3-119
180	M76579.1_4-118	D10535.1_1-121
181	X03905.1_4-117	X01570.1_1-119
182	Z11816.1_1-116	J01009.1_607-725
183	X16688.1_41-159	M33887.1_1-111
184	M36152.1_2-117	X00865.1_1-119
185	X06837.1_1-119	AE000559.1_152-269
186	L27166.1_1-122	L37445.1_4-118
187	X05528.1_1-121	AJ131597.1_3-113
188	X02022.1_3-118	X13222.1_1-121
189	M28984.1_1-119	X03904.1_2-116
190	Z50075.1_3-119	X06854.1_5-111
191	M36316.1_2-120	M21086.1_8-123
192	M11536.1_2-116	X00999.1_1-121
193	X02237.1_3-118	X00687.1_1-119
194	Z50065.1_3-120	X73890.1_1-118
195	AF272626.1_2982-3085	K03169.1_1-118
196	Z50067.1_4-120	X16634.1_937-1057
197	D10530.1_1-120	X75601.1_91-203
198	M33889.1_1-117	M10435.1_2-120
199	V00648.1_1-119	AF114035.1_6057-6173
200	M76572.1_4-118	X04309.1_2-120
201	Z11818.1_3-116	X16225.1_825-943
202	M25201.1_1-119	M59345.1_3-119
203	X12622.1_1-118	D13619.1_3-119
204	D00062.1_1-121	Z50058.1_3-119
205	X55697.1_1-119	X16194.1_2-114
206	X00190.1_1-118	AJ131595.1_3-115
207	M10364.1_2-118	AF331021.1_183-301
208	K03160.1_1-118	M36154.1_1-117
209	X01618.1_1-119	Z50062.1_3-119
210	X55263.1_3-119	M10434.1_1-119
211	Z49275.1_645-762	X52049.1_2-120
212	M16530.1_8-123	X01534.1_1-119
213	X02248.1_3-118	X06839.1_3-124
214	AL139074.2_44743-44859	L37447.1_4-116
215	X07692.1_700-821	AJ131598.1_3-114
216	M11540.1_3-116	D10527.1_1-120
217	X16851.1_1-119	X02252.1_3-118
218	X55251.1_3-116	D00061.1_1-120
219	X13005.1_1-116	J01012.1_1-119
220	M35167.1_2-111	X00992.1_1-119
221	X06848.1_1-119	K02687.1_1-115
222	M58385.1_5-116	X55267.1_3-119
223	X01518.1_1-119	M34771.1_2-116
224	X00073.1_1-117	M36188.1_5-125
225	Y00159.1_2-117	M33890.1_5-120
226	U18089.1_3485-3600	J01851.1_1-119
227	X05534.1_1-118	M34776.1_2-116
228	S73542.1_3-119	AF072692.1_240-358
229	X57791.1_153-262	X00072.1_1-118
230	M36308.1_1-119	AF114034.1_6052-6168
231	M16177.1_4-120	X06843.1_1-119
232	X05541.1_1-121	U01070.1_190-289
233	X05870.1_304-418	M16169.1_3-119
234	X62864.1_3-123	M34764.1_3-118
235	X02264.1_3-118	X13035.1_1-119
236	M26976.1_105-223	K02343.1_1-119
237	K02348.1_1-119	X06688.1_3-118
238	AJ243001.2_1-116	X55265.1_3-119
239	X02251.1_3-118	K02344.1_1-118
240	X00068.1_1-119	X15364.1_6601-6721
241	M25202.1_1-119	X15179.1_3-118
242	M10358.1_2-120	X02030.1_3-120
243	X62863.1_2-121	AE004502.1_3179-3294
244	X06687.1_3-118	M58383.1_4-115
245	X02247.1_3-118	X01544.1_1-118
246	X00575.1_1-121	X01555.1_3-118
247	M35570.1_5-120	M16533.1_3-118
248	X56490.1_1-119	X55260.1_3-119
249	X62860.1_3-123	X01950.1_1-117
250	X02036.1_1-119	AJ131587.1_3-115
251	K01050.1_1-121	M11545.1_4-118
252	M35569.1_4-116	X01004.1_1-119
253	X02027.1_1-117	D00059.1_1-118
254	X00074.1_1-118	Z50055.1_3-119
255	X05535.1_1-118	X05053.1_3-118
256	X02637.1_3-120	X00866.1_1-119
257	X03911.1_1-119	M11546.1_4-118
258	D16558.1_6715-6832	X05524.1_5-117
259	X55269.1_3-119	M35578.1_1-118
260	M58384.1_1-118	X52301.1_1-117
261	M11544.1_4-118	M24954.1_1-119
262	M34774.1_2-116	X58912.1_148-266
263	D13620.1_3-119	M18171.1_1-119
264	X05234.1_1-119	X02707.1_2-120
265	X79704.1_3397-3511	X06849.1_1-119
266	X55254.1_3-119	X01588.1_5-119
267	M76580.1_4-118	AJ132198.1_1-116
268	D10529.1_1-121	M34759.1_7-109
269	X00994.1_1-119	M76576.1_4-118
270	M19950.1_1-120	M35170.1_2-108
271	AJ131600.1_3-115	L27343.1_3-116
272	X03407.1_5927-6048	X61066.1_168-278
273	M35394.1_1-119	M29167.1_1-109
274	AB015590.1_1-119	L12403.1_3-117
275	M35563.1_5-120	X02706.1_2-120
276	X00997.1_1-119	X15126.1_3-120
277	X52299.1_5-122	D00076.1_1-119
278	X05059.1_1-119	X02238.1_3-118
279	X01619.1_1-119	X02236.1_3-119
280	J01889.1_1-119	AJ131602.1_3-115
281	Z50073.1_3-119	X54477.1_2-120
282	M10850.1_361-479	X01501.1_2-116
283	X00864.1_1-119	X02025.1_1-116
284	K01537.1_51-169	X15246.1_11-127
285	X00378.1_2-120	Z50054.1_4-120
286	X06840.1_1-119	AB035926.1_5989-6104
287	X06098.1_1-107	X00998.1_1-119
288	M32450.1_1-119	X55259.1_3-117
289	X01557.1_3-118	X01620.1_1-118
290	X04305.1_1-118	AJ235270.1_260875-260989
291	M10202.1_3-117	X15245.1_36-152
292	K03168.1_1-118	X00916.1_1218-1332
293	AF114033.1_6078-6194	X52300.1_5-122
294	J01888.1_1-119	X02253.1_3-118
295	X08003.1_3-119	X01002.1_1-119
296	M16172.1_3-119	J01872.1_1-119
297	Z50057.1_2-118	X13034.1_1-119
298	M35576.1_1-118	M60936.1_3-119
299	X55252.1_1-115	X73589.1_1-118
300	M59340.1_3-119	X01550.1_1-119
301	M16171.1_3-119	M36314.1_2-120
302	M34760.1_2-117	X15199.1_158-276
303	X01551.1_1-119	M16205.1_4-122
304	X06844.1_1-119	AJ251080.1_1-117
305	AB001721.1_2735-2851	M34003.1_489-607
306	X05532.1_1-118	K02682.1_2-118
307	X06852.1_1-118	U39694.1_9296-9392
308	L08897.1_5770-5874	M36310.1_2-120
309	M35571.1_1-119	L37449.1_4-118
310	X03567.1_108-226	X02242.1_7-110
311	AF036708.1_19036-19140	M33892.1_2-110
312	D13617.1_2-117	M11541.1_4-119
313	X02729.1_3021-3135	X00932.1_3-118
314	M25115.1_1-122	X05516.1_3-119
315	M35574.1_1-119	X13662.1_1-116
316	X00081.1_2-117	AJ417699.1_1-119
317	D13618.1_3-119	X83208.1_1-119
318	AJ131591.1_3-116	X58874.1_548-664
319	M35395.1_1-119	X02250.1_3-118
320	AF114036.1_6058-6174	M36311.1_2-120
321	AJ131599.1_3-114	X52050.1_1-119
322	D10533.1_1-120	X02627.1_4-118
323	K02349.1_1-119	M10816.1_1-117
324	M16532.1_2-117	X06099.1_1-107
325	X52051.1_2-120	L24488.1_3-117
326	X62861.1_3-124	X01543.1_1-118
327	X62859.1_3-124	M34769.1_10-105
328	M33891.1_4-123	AF088897.1_10366-10481
329	M30199.1_68-167	U28505.1_6807-6921
330	X71804.1_109-227	X02039.1_3-118
331	M10438.1_2-120	X05519.1_1-116
332	M35168.1_2-110	X00991.1_1-118
333	M36155.1_1-117	U67537.1_493-607
334	M35568.1_2-115	D10526.1_1-121
335	X00069.1_1-118	M11715.1_3-118
336	X00996.1_1-119	X15180.1_3-118
337	Z11824.1_3-116	X05233.1_1-119
338	X72495.1_5075-5190	X06575.1_4-117
339	X05525.1_1-116	X01536.1_1-119
340	M16176.1_4-120	AF134704.1_5562-5676
341	U26684.1_296-411	M33894.1_2-109
342	AF116561.1_5902-6018	X06833.1_1-115
343	M28193.1_1-119	X52302.1_2-117
344	M35166.1_2-110	X00070.1_1-118
345	X00377.1_2-120	D13615.1_3-119
346	M59338.1_3-119	X00022.1_1-119
347	M16531.1_2-121	AJ312082.1_1-119
348	X02031.1_1-118	X00691.1_1-119
349	X06995.1_1-119	V01120.1_2-120
350	AF237335.1_140-258	X62862.1_2-123
351	M38645.1_2-120	X67494.1_1-118
352	K02688.1_1-115	L37451.1_4-118
353	X16192.1_3-117	X68666.1_1-122
354	M10436.1_2-120	X02243.1_3-118
355	X02024.1_3-117	X00067.1_1-119
356	M33893.1_2-111	X62858.1_1-121
357	M36306.1_1-119	M11538.1_4-116
358	L27169.1_1-121	AF170176.1_1092-1207
359	V00647.1_1-119	AF008220.1_5185-5300
360	M35565.1_3-118	L27170.1_1-120
361	X55255.1_4-120	M35567.1_3-116
362	M11537.1_2-117	M36315.1_3-121
363	AJ131585.1_3-115	X06851.1_1-118
364	K02354.1_1-118	M16170.1_3-119
365	M19136.1_148-266	L27167.1_1-122
366	X01535.1_1-119	M55343.1_5620-5736
367	X62857.1_1-121	X55253.1_3-119
368	M36187.1_5-126	X02255.1_3-118
369	AJ131593.1_3-115	L27162.1_2-122
370	X02258.1_3-117	AF034619.1_5584-5700
371	AJ131592.1_3-116	Z50077.1_4-121
372	X06835.1_1-119	X13006.1_1-116
373	X00993.1_1-119	D90253.1_251-366
374	X62865.1_3-123	M11716.1_2-115
375	M34761.1_2-116	U67518.1_78-192
376	X02246.1_3-118	M34910.1_5-126
377	M18170.1_1-119	M16174.1_3-119
378	M35573.1_1-119	X02254.1_3-118
379	M34770.1_1-114	X55264.1_4-122
380	M34772.1_1-114	X01617.1_1-119
381	X05527.1_1-120	AF051555.1_130-236
382	V00476.1_1-119	M32519.1_4-118
383	AJ131583.1_3-115	D10525.1_1-120
384	M27961.1_79-196	X02128.1_24-139
385	Z50737.1_3-119	X12886.1_1-117
386	L27163.1_1-119	M76571.1_4-117
387	M10432.1_1-119	AJ131590.1_3-114
388	X02629.1_3-115	Z50074.1_3-119
389	X52048.1_2-120	X01000.1_1-121
390	V01347.1_3-119	M34765.1_1-114
391	S43413.1_98-213	M10437.1_2-120
392	M34911.1_4-118	X52298.1_2-113
393	M35395.1_1-119	K03155.1_22-137
394	X00475.1_121-239	M59346.1_3-119
395	X00071.1_1-118	M27245.1_5773-5889
396	AF116561.1_5902-6018	X06854.1_5-111
397	X52047.1_2-120	AL445066.1_280290-280410
398	D00061.1_1-120	X52049.1_2-120
399	X56490.1_1-119	X06852.1_1-118
400	K02350.1_1-119	M38645.1_2-120
401	K01537.1_51-169	X16688.1_41-159
402	X02026.1_1-117	X72588.1_6990-7093
403	M36188.1_5-125	X02022.1_3-118
404	X62857.1_1-121	M11715.1_3-118
405	X05081.1_5-114	X02627.1_4-118
406	L27168.1_1-120	Z35330.1_6121-6235
407	M36186.1_5-125	X59479.1_518-634
408	X02241.1_3-119	AJ419791.1_210-328
409	X13037.1_1-119	X03701.1_3-119
410	M33890.1_5-120	AL139074.2_44743-44859
411	X06694.1_9-124	V00476.1_1-119
412	X00930.1_3-118	J01893.1_5-114
413	X01003.1_1-119	M36156.1_2-116
414	X02260.1_3-117	M35572.1_1-119
415	Z50055.1_3-119	X01619.1_1-119
416	X01535.1_1-119	Z11823.1_1-116
417	M34775.1_1-115	AJ419791.1_210-328
418	AF114033.1_6078-6194	X00067.1_1-119
419	M35566.1_3-117	AF114036.1_6058-6174
420	X00068.1_1-119	K02682.1_2-118
421	M16532.1_2-117	U67518.1_78-192
422	J01872.1_1-119	X03905.1_4-117
423	M58385.1_5-116	X62862.1_2-123
424	X06840.1_1-119	AL445066.1_280290-280410
425	X00997.1_1-119	AB001721.1_2735-2851
426	V01347.1_3-119	M10437.1_2-120
427	X00073.1_1-117	X01617.1_1-119
428	M28975.1_65-183	M10850.1_361-479
429	X15199.1_158-276	D10527.1_1-120
430	X00692.1_1-119	X05532.1_1-118
431	X02729.1_3021-3135	M34769.1_10-105
432	U39694.1_9296-9392	X05525.1_1-116
433	K02343.1_1-119	X02242.1_7-110
434	L37446.1_4-117	K01389.1_140-255
435	X72588.1_6990-7093	D10528.1_1-121
436	U01070.1_190-289	M76573.1_4-118
437	X52299.1_5-122	D13618.1_3-119
438	L37449.1_4-118	X62858.1_1-121
439	X55263.1_3-119	X05528.1_1-121
440	X05041.1_3-118	M33891.1_4-123
441	J01851.1_1-119	X02264.1_3-118
442	M26976.1_105-223	M33886.1_1-116
443	AJ131593.1_3-115	M59346.1_3-119
444	D13615.1_3-119	M34911.1_4-118
445	M34759.1_7-109	M33893.1_2-111
446	X05527.1_1-120	M11546.1_4-118
447	X12622.1_1-118	M58416.1_2-116
448	X02241.1_3-119	M35573.1_1-119
449	X62859.1_3-124	Z50076.1_4-120
450	AF034619.1_5584-5700	X52303.1_2-118
451	X01534.1_1-119	Y00159.1_2-117
452	M16174.1_3-119	X05233.1_1-119
453	Z50067.1_4-120	X02236.1_3-119
454	M59338.1_3-119	X02706.1_2-120
455	X55268.1_3-119	J01893.1_5-114
456	X62861.1_3-124	X12884.1_1-117
457	D00076.1_1-119	M60936.1_3-119
458	X16851.1_1-119	M34758.1_2-116
459	Z50062.1_3-119	AJ131599.1_3-114
460	AJ131585.1_3-115	M35570.1_5-120
461	AF114034.1_6052-6168	AJ131589.1_3-115
462	X00072.1_1-118	D00063.1_1-121
463	X13040.1_1-118	X57691.1_1-116
464	L27167.1_1-122	X03911.1_1-119
465	X01555.1_3-118	Z50057.1_2-118
466	L27236.1_1-122	X13035.1_1-119
467	X00190.1_1-118	X07692.1_700-821
468	AJ131590.1_3-114	X55269.1_3-119
469	X05059.1_1-119	X67494.1_1-118
470	X16634.1_937-1057	X00992.1_1-119
471	M35576.1_1-118	X06839.1_3-124
472	M18171.1_1-119	X05541.1_1-121
473	K03161.1_1-118	X01618.1_1-119
474	D10532.1_1-120	M28984.1_1-119
475	D10525.1_1-120	X00020.1_1-119
476	X05533.1_1-118	X13222.1_1-121
477	X00574.1_1-118	D10526.1_1-121
478	D00058.1_1-118	M36315.1_3-121
479	K03168.1_1-118	K02345.1_1-118
480	D13621.1_3-119	X02039.1_3-118
481	X12886.1_1-117	M34768.1_3-117
482	X01557.1_3-118	X15246.1_11-127
483	L12404.1_3-117	AJ131602.1_3-115
484	AE000007.2_3022-3129	X79704.1_3397-3511
485	X52300.1_5-122	X02238.1_3-118
486	M36186.1_5-125	X15126.1_3-120
487	X16192.1_3-117	X62860.1_3-123
488	M59345.1_3-119	X02628.1_2-114
489	X02631.1_2-115	X02713.1_1-117
490	X55253.1_3-119	AB035926.1_5989-6104
491	M11716.1_2-115	M35572.1_1-119
492	X01589.1_1-117	X00994.1_1-119
493	X05234.1_1-119	K02362.1_1-121
494	M10435.1_2-120	X06849.1_1-119
495	M34910.1_5-126	Z11819.1_3-116
496	X52052.1_4-118	X54477.1_2-120
497	X02027.1_1-117	L27162.1_2-122
498	X72495.1_5075-5190	M16173.1_3-119
499	X55255.1_4-120	X06687.1_3-118
500	X58874.1_548-664	M35565.1_3-118
501	X01536.1_1-119	M35571.1_1-119
502	M59339.1_3-119	AJ131583.1_3-115
503	X73589.1_1-118	X00377.1_2-120
504	X52297.1_1-116	M10364.1_2-118
505	X00575.1_1-121	M10202.1_3-117
506	X52047.1_2-120	X06104.1_1-119
507	X01551.1_1-119	X52048.1_2-120
508	X00071.1_1-118	X02707.1_2-120
509	X02036.1_1-119	D00059.1_1-118
510	D10533.1_1-120	X52051.1_2-120
511	M29167.1_1-109	D90253.1_251-366
512	X75615.1_8-118	X00022.1_1-119
513	X02028.1_1-117	X62864.1_3-123
514	X53853.1_5621-5735	M10436.1_2-120
515	X02031.1_1-118	X62865.1_3-123
516	Z50736.1_3-119	U09230.1_4482-4597
517	X13006.1_1-116	U26684.1_296-411
518	L27168.1_1-120	AF114035.1_6057-6173
519	X05519.1_1-116	M76388.1_6142-6258
520	X15329.1_3-123	X02013.1_1-116
521	X05053.1_3-118	X01950.1_1-117
522	M27245.1_5773-5889	AJ131600.1_3-115
523	M36157.1_2-116	X00916.1_1218-1332
524	X00993.1_1-119	AJ131588.1_3-114
525	X00757.1_2-119	X02026.1_1-117
526	V00646.1_1-107	X55265.1_3-119
527	X02253.1_3-118	X55697.1_1-119
528	X55264.1_4-122	X05052.1_3-119
529	L08897.1_5770-5874	X02260.1_3-117
530	X00070.1_1-118	M32519.1_4-118
531	M33888.1_3-119	X15181.1_3-118
532	AJ132198.1_1-116	M35310.1_1-117
533	Z50059.1_3-119	X02239.1_3-118
534	X06099.1_1-107	X55251.1_3-116
535	M59340.1_3-119	M76574.1_4-118
536	X02255.1_3-118	M16176.1_4-120
537	AF237335.1_140-258	X02250.1_3-118
538	M16171.1_3-119	U18089.1_3485-3600
539	X16193.1_4-119	M36154.1_1-117
540	X55252.1_1-115	AJ312082.1_1-119
541	AF072692.1_240-358	X00069.1_1-118
542	AF101250.1_1-119	M36313.1_2-120
543	M28193.1_1-119	M10434.1_1-119
544	M35168.1_2-110	X02254.1_3-118
545	M11535.1_2-117	M35169.1_2-109
546	M11543.1_1-115	X02246.1_3-118
547	AF272626.1_2982-3085	M10432.1_1-119
548	M34765.1_1-114	X13662.1_1-116
549	M55343.1_5620-5736	M34760.1_2-117
550	AF036708.1_19036-19140	X55261.1_3-119
551	M18170.1_1-119	L27169.1_1-121
552	X52301.1_1-117	L27166.1_1-122
553	AF454951.1_1084-1198	AJ131597.1_3-113
554	X06835.1_1-119	M35574.1_1-119
555	V00647.1_1-119	X52050.1_1-119
556	X06847.1_1-119	X01003.1_1-119
557	X06844.1_1-119	X13034.1_1-119
558	M32450.1_1-119	X01570.1_1-119
559	M10438.1_2-120	X01002.1_1-119
560	X04309.1_2-120	K01050.1_1-121
561	X00691.1_1-119	K02348.1_1-119
562	X00475.1_121-239	M36310.1_2-120
563	M35394.1_1-119	K02344.1_1-118
564	K03160.1_1-118	M25201.1_1-119
565	X06688.1_3-118	M76575.1_4-118
566	M36159.1_2-116	X04585.1_3-117
567	M36156.1_2-116	L27170.1_1-120
568	Z11825.1_3-116	M76580.1_4-118
569	X01484.1_2-120	X62863.1_2-121
570	D13619.1_3-119	M36187.1_5-126
571	X00930.1_3-118	X05516.1_3-119
572	AF134704.1_5562-5676	M33892.1_2-110
573	M25115.1_1-122	M19950.1_1-120
574	X01501.1_2-116	M35165.1_2-110
575	M11545.1_4-118	M35164.1_2-109
576	X05526.1_2-115	M11537.1_2-117
577	AJ235270.1_260875-260989	M35569.1_4-116
578	X02237.1_3-118	Z50066.1_3-119
579	X08003.1_3-119	X02249.1_3-117
580	X16225.1_825-943	X00999.1_1-121
581	X01000.1_1-121	X00865.1_1-119
582	M16205.1_4-122	X52302.1_2-117
583	M76579.1_4-118	AJ131598.1_3-114
584	M34776.1_2-116	M33894.1_2-109
585	X06837.1_1-119	D10529.1_1-121
586	M25202.1_1-119	AB015590.1_1-119
587	X57791.1_153-262	M30199.1_68-167
588	X05870.1_304-418	M16530.1_8-123
589	X61066.1_168-278	X00501.1_7-121
590	L37447.1_4-116	X55267.1_3-119
591	X02243.1_3-118	L12402.1_3-117
592	X15245.1_36-152	M34773.1_1-114
593	X02128.1_24-139	X15364.1_6601-6721
594	AJ131586.1_3-115	AF001265.1_6033-6149
595	X61068.1_253-364	X55260.1_3-119
596	D90255.1_422-538	Z50073.1_3-119
597	AJ131601.1_3-115	M59335.1_3-119
598	M36155.1_1-117	X02030.1_3-120
599	X55259.1_3-117	M76572.1_4-118
600	Z50069.1_4-120	X00931.1_3-117
601	K02683.1_2-118	X15179.1_3-118
602	M34774.1_2-116	X05517.1_3-118
603	X13007.1_1-116	Z50075.1_3-119
604	M58387.1_5-112	AJ417699.1_1-119
605	X06851.1_1-118	V00648.1_1-119
606	X06848.1_1-119	M36316.1_2-120
607	X02259.1_3-117	Z50058.1_3-119
608	X00378.1_2-120	J01888.1_1-119
609	AJ243001.2_1-116	D10534.1_1-121
610	X06843.1_1-119	X06834.1_1-119
611	X04305.1_1-118	X03567.1_108-226
612	M34003.1_489-607	X00689.1_1-119
613	X00687.1_1-119	D16558.1_6715-6832
614	X01004.1_1-119	M36314.1_2-120
615	M36311.1_2-120	D10535.1_1-121
616	X01550.1_1-119	M36307.1_1-119
617	M11540.1_3-116	X13005.1_1-116
