index,SequenceA,SequenceB,SCI
89,AF177911.1_4399-4459,X84981.1_4384-4444,1.09830508474576
90,AF457065.1_59-142,AF386059.1_65-148,0.775555555555556
91,AF176573.1_9261-9311,Y11604.1_9193-9243,0.95771144278607
92,AE005234.1_8154-8227,X54300.1_29-102,1.16949152542373
93,M10217.1_13781-13846,AF233324.1_37223-37296,0.948955916473318
94,M34485.1_360-150,AP003013.2_206912-207118,0.825735294117647
95,AF125575.1_5781-5843,AF096875.1_5504-5568,1.23719676549865
96,AY161889.1_12-128,AY118154.1_240-357,0.89
97,D13619.1_3-119,M36187.1_5-126,1.07435610302352
98,AF063149.1_455-511,AF462790.1_738-793,0.994307400379507
99,AE016999.1_97492-97606,Z99119.2_164687-164788,0.961344537815126
100,X90722.2_392-643,AB059821.1_266-517,0.948104956268222
101,D11467.1_6989-6916,M86496.1_1-68,1.27637362637363
102,X00068.1_1-119,X15364.1_6601-6721,1.03952095808383
103,AL596167.1_48063-48187,AF109909.2_85-201,1.24380032206119
104,U77945.1_1848-1919,Z00044.1_12700-12613,0.782282282282282
105,AE009624.1_3419-3517,U06833.1_215-133,0.838762214983713
106,X00224.1_747-772,J00986.1_329-354,1.04926108374384
107,AE004361.1_7554-7382,AP001517.1_215539-215348,0.921478060046189
108,AF061641.1_97-212,AJ288981.1_736-854,0.870886075949367
109,AF493541.1_7070-7138,M18050.1_352-424,1.24812030075188
110,AE009773.1_7700-7629,X04761.1_963-892,1.1844331641286
111,X55697.1_1-119,M10437.1_2-120,1.08862275449102
112,AJ011856.1_26154-26228,X05917.1_3244-3331,0.926732673267327
113,AF323244.1_30-81,M73472.1_3-54,1.04329004329004
114,AY070187.1_1-277,U23744.1_1-305,0.924141221374046
115,AF061641.1_256-339,AF386036.1_65-148,0.811059907834101
116,AF484481.1_59-142,AY206664.1_65-148,0.919642857142857
117,AF166008.1_340-453,AY147192.1_1892-2005,0.828209764918626
118,X59479.1_518-634,AF114033.1_6078-6194,0.966318234610918
119,X13914.1_2-302,X65986.1_1-303,0.912933496532028
120,AE009258.1_7675-7777,AE016910.1_243048-243195,0.624876604146101
121,AE009203.1_4053-3942,AE017013.1_198598-198699,0.79635761589404
122,BX842644.1_199513-199421,AL672115.1_15647-15763,0.653781512605042
123,AF164485.1_2099-2150,AF349336.1_33-84,1.01377952755906
124,AY371121.1_1290-1341,AY492757.1_849-900,1.01840490797546
125,X02585.1_923-1086,X04994.1_647-780,0.850510677808728
126,AJ005305.1_56-3,J02439.1_42-95,1.16756756756757
127,AL646061.1_184783-184648,AP005086.1_289389-289519,1.11530815109344
128,X03848.1_3091-3164,M22650.1_459-527,1.38057742782152
129,AF255927.1_20-103,AY451088.1_148-231,0.919889502762431
130,AY145956.1_1-204,L38332.1_1-282,0.949134199134199
131,L28892.1_463-561,AF239639.1_529-627,0.937388193202147
132,X00239.1_111-183,X16885.1_635-704,1.09744779582367
133,AJ011900.1_63-136,X02172.1_74-145,1.1937984496124
134,X56456.1_243-390,AF106845.1_257-451,0.717881944444445
135,AE016746.1_165122-165020,AE016755.1_79951-79852,0.688965517241379
136,K03168.1_1-118,X01002.1_1-119,1.15994623655914
137,AF158612.1_1-181,AF506674.1_3-225,0.779179810725552
138,X53649.1_604-676,X70810.2_100844-100773,1.21730769230769
139,Z84237.1_1-250,D31726.1_1-254,0.952209660842754
140,Y00163.1_254-326,X55514.2_4416-4343,1.05326876513317
141,AF016404.1_2636-2555,U32309.1_158-89,1.26811594202899
142,AF158724.1_274-427,X15589.1_256-410,0.83641404805915
143,D10532.1_1-120,Z11823.1_1-116,1.1416149068323
144,AF041292.1_1-190,D16612.1_3-309,0.741132874536792
145,AB001965.1_114-167,AL928834.15_155976-156029,0.730569948186528
146,AY519082.1_46-97,AJ583728.1_51-102,0.986940298507463
147,AF361874.1_1274-1325,AF286238.1_1444-1495,0.997854077253219
148,U72079.1_331-387,AF102220.1_389-445,1.03710575139147
149,X15245.1_160-231,AC024995.8_165717-165798,1.05749128919861
150,Y11109.1_1272-1330,Y11109.1_927-987,0.967479674796748
151,X01589.1_1-117,X00994.1_1-119,1.10483870967742
152,X56455.1_161-312,X56457.1_243-390,0.916947250280584
153,AF155537.1_65-148,AY275555.1_65-148,0.919354838709677
154,U41288.1_27369-27451,AP000423.1_1844-1752,0.839611650485437
155,X05057.1_3-119,M33888.1_3-119,1.02097902097902
156,X83550.1_739-764,U37575.1_1468-1493,1.0
157,X56629.1_421-581,X75936.1_1034-1194,1.01763668430335
158,X04163.1_59-131,K00344.1_1-73,1.12058823529412
159,AF115448.1_65-148,AY423384.1_389-472,0.892441860465116
160,AF443082.1_8878-8933,AF239629.1_394-449,1.05504587155963
161,AY070183.1_1-277,D45872.1_1-238,0.891666666666667
162,M26977.1_379-453,AP003004.2_222291-222372,1.0207756232687
163,AE010387.1_4828-4528,AL445063.1_194119-194402,0.940080506037953
164,AE012090.1_10837-10947,AE004717.1_4063-3947,0.882794577685089
165,AE006092.1_9479-9578,D11415.1_117-219,1.07537688442211
166,AE016806.1_33242-33376,AE015942.1_292344-292250,0.570671378091873
167,M16863.1_456-385,AF467991.1_42-125,1.0198347107438
168,X06578.1_1-116,AF008220.1_5185-5300,0.973871733966746
169,X15090.1_41-114,M68929.1_32684-32756,1.02979515828678
170,M93388.1_1185-1251,AF166114.1_53704-53775,1.08269230769231
171,M28975.1_65-183,M36159.1_2-116,1.13722627737226
172,Z77081.1_1-197,L27875.1_1-232,0.719733656174334
173,U18917.1_50408-50336,AJ271079.2_59828-59899,1.1130604288499
174,AF443079.1_232-315,AF391267.1_65-148,0.90625
175,AC002341.3_6810-6881,K01749.1_2878-2958,1.24795081967213
176,X03952.1_2442-2467,BC016336.1_372-397,1.04587155963303
177,J01395.1_3006-3078,X70810.2_102679-102606,1.00874125874126
178,X02172.1_247-319,X54300.1_29-102,1.30487804878049
179,D10483.2_75274-75175,AP004172.1_250747-250650,0.863560732113145
180,AL132709.5_171766-171695,AL132709.5_178148-178075,0.868965517241379
181,U23742.1_1-265,AY188141.1_2-196,0.7705918242831
182,K01390.1_620-691,M20952.1_1-71,1.10657193605684
183,AF418371.1_65-148,AB034885.1_65-148,0.846681922196796
184,Z29106.1_1-301,X65985.1_1-302,1.00040899795501
185,AE017272.1_195611-195716,AE009471.1_6144-5974,0.827209302325581
186,AY043176.1_8653-8709,U81463.1_288-344,1.05291005291005
187,AF041286.1_1-191,X78865.1_2-193,0.766712141882674
188,AY271690.1_2096-2147,AJ006287.1_1634-1685,1.01252236135957
189,Z79548.1_65-148,AF529573.1_87-170,0.982638888888889
190,AF442570.1_1448-1499,AF086817.1_2084-2135,1.11161731207289
191,AF088897.1_10366-10481,D16558.1_6715-6832,0.955773955773956
192,AJ550906.1_56-3,AJ241841.1_57-3,1.05339805825243
193,AF339739.1_56-3,AJ005314.1_281-334,1.18518518518519
194,AF306632.1_382-181,BX572594.1_100625-100429,0.864830237027546
195,U69591.1_9109-9165,L28858.1_329-385,1.01856148491879
196,X06688.1_3-118,M76575.1_4-118,0.831506849315069
197,AY451100.1_148-231,AF443101.1_235-318,0.826219512195122
198,AL833575.1_1110-1179,AF390544.1_1076-1142,0.865706051873199
199,M25321.1_478-410,X04465.1_90332-90261,1.32872928176796
200,X02247.1_3-118,X01544.1_1-118,1.09210526315789
201,AY519089.1_46-97,AY519060.1_46-97,1.00854700854701
202,X06843.1_1-119,V01420.1_2-120,1.1
203,M74898.1_595-708,M64226.1_1117-1230,0.770516717325228
204,AC084153.1_28467-28538,U39708.1_2300-2229,1.13
205,U35394.1_2008-2158,AY029385.1_986-1138,0.959574468085106
206,AY070176.1_1-277,AF055305.1_1-239,0.808176100628931
207,AF316321.2_4400-4460,AF119795.2_4397-4457,0.996212121212121
208,M33890.1_5-120,AL139074.2_44743-44859,0.955801104972376
209,J03294.1_2297-2476,AE015545.1_1265-1436,1.10204081632653
210,AJ405959.1_1-52,AJ535027.1_23-74,0.956701030927835
211,AB035926.1_5989-6104,AJ131595.1_3-115,1.03400267737617
212,AB022283.1_1669-1729,AF166127.1_1919-1981,0.958149779735683
213,AF056005.1_1-237,AY145909.1_2-205,0.823831242873432
214,Z36523.1_3-205,AY163827.1_1-253,0.804988662131519
215,Z97098.1_19-102,AF491253.1_65-148,0.912832929782082
216,X55773.1_387-534,X02585.1_923-1086,0.732588134135856
217,M18050.1_273-344,AL132798.2_14445-14516,1.12430426716141
218,X66438.1_1-72,X05394.1_580-653,1.14503816793893
219,D11412.1_117-219,D11415.1_117-219,1.0828025477707
220,X01535.1_1-119,Z11823.1_1-116,1.12442922374429
221,Z79540.1_65-148,L11783.1_65-148,0.800947867298578
222,AF200830.1_9887-9951,M86500.1_1-68,1.43181818181818
223,Z97080.1_19-102,AB078714.1_65-148,0.829508196721311
224,X01000.1_1-121,X05541.1_1-121,1.18733153638814
225,AF102200.1_313-369,AF102223.1_365-421,1.12929292929293
226,AE008868.1_12130-12057,X12975.1_234-306,1.26136363636364
227,X65983.1_1-305,Z29099.1_1-303,1.07677394338891
228,AJ313407.1_51-102,AF292784.1_80-131,1.03578154425612
229,D13451.1_2-185,L34382.1_1-279,0.740174672489083
230,Z99110.2_31833-31941,AP005959.1_127882-128010,0.869948186528497
231,X06475.1_589-783,M72887.1_1-195,1.0
232,AF254726.1_392-448,L28844.1_329-385,1.03898635477583
233,L48691.1_1171-1284,AF166003.1_1167-1280,0.735873850197109
234,AY139482.1_35-118,AB097866.1_172-255,0.964187327823692
235,AF462419.1_4444-4504,AF405666.1_4444-4504,1.09578544061303
236,X01557.1_3-118,X02235.1_3-118,1.04040404040404
237,AL939118.1_230082-230163,D11418.1_118-220,1.15289256198347
238,AE016746.1_110388-110533,AE017028.1_108421-108293,0.89105180533752
239,L34371.1_1-279,AF506643.1_1-198,0.786629526462395
240,AE016750.1_293855-293964,AE015414.1_5697-5597,1.00594059405941
241,AB027572.1_4261-4342,X86563.2_66129-66056,1.12683823529412
242,AL021918.1_94597-94678,X52392.1_13000-13070,1.07422680412371
243,AE007789.1_11572-11662,AE007651.1_7649-7751,0.945754716981132
244,AY163823.1_1-230,L38347.1_1-288,0.805907172995781
245,X78858.1_2-193,AY033769.1_1-301,0.692544987146529
246,X02205.1_668-740,AL352978.6_119697-119770,1.31510416666667
247,AJ006318.1_1-251,AF141989.1_1-195,0.818607372732592
248,AL162754.2_59398-59550,AP002996.2_13144-13230,0.598048780487805
249,AJ316582.1_78387-78450,X04465.1_116516-116403,0.781725888324873
250,AY438098.1_5-221,U14784.1_1-239,0.783265543288786
251,X00071.1_1-118,M27245.1_5773-5889,1.11799065420561
252,AF533132.1_65-148,U56340.1_68-151,0.875
253,U72122.1_307-363,U69592.1_9106-9162,1.10663983903421
254,U42975.1_1160-1273,M32661.1_1132-1245,0.768698060941828
255,Z11819.1_3-116,AJ131583.1_3-115,0.977117384843982
256,X57593.1_241-312,X02173.1_617-699,1.2116991643454
257,U45979.1_1659-1772,AF032099.1_1303-1416,0.897374701670644
258,U14783.1_1-240,D14305.1_1-327,0.838740920096852
259,AF271889.1_1-237,AY190484.1_1-181,0.778334376956794
260,X00020.1_1-119,M18171.1_1-119,1.13780487804878
261,X13823.1_142-214,X52392.1_6280-6355,0.940959409594096
262,AE006165.1_9171-9068,AE000633.1_3712-3819,0.861892583120205
263,X02585.1_923-1086,X63783.1_598-755,0.925818882466281
264,AB021684.1_14108-14260,M36008.1_959-1112,0.897302001740644
265,K00634.1_531-596,K00174.1_1-68,1.50965250965251
266,AE016978.1_72938-72839,AP005029.1_281486-281666,0.580504201680672
267,U67538.1_10143-10207,K01727.1_129-57,0.904328018223235
268,D90255.1_422-538,K02350.1_1-119,1.1584038694075
269,Z99104.2_95646-95728,X04465.1_64788-64715,0.946086956521739
270,AJ277126.1_2879-2953,X86563.2_93178-93102,0.851099830795262
271,X80330.1_1457-1482,L19778.1_469-494,1.02824858757062
272,AF386064.1_65-148,Z97101.1_19-102,0.800492610837439
273,AF024119.1_120-171,AF484496.1_1275-1326,1.04500978473581
274,K03161.1_1-118,M34003.1_489-607,1.12919633774161
275,L28903.1_463-561,M38429.1_580-678,0.942307692307692
276,X05234.1_1-119,K02362.1_1-121,1.03646563814867
277,AF049338.1_366-422,U51189.1_9542-9597,1.06183745583039
278,BX321864.1_302773-302659,AE015938.1_76711-76816,1.00768049155146
279,M10217.1_11905-11973,M93388.1_1318-1384,1.43445692883895
280,X13824.1_2-83,AF347015.1_1604-1672,1.28619528619529
281,AF457090.1_59-142,Z79527.1_65-148,0.933842239185751
282,X12975.1_234-306,M91385.1_1205-1276,1.08210526315789
283,AF116561.1_5902-6018,M76576.1_4-118,0.888010540184453
284,AF156848.1_44-95,AY535755.1_171-222,0.9559902200489
285,X02710.1_1-73,M68929.1_17407-17480,1.20654911838791
286,X02259.1_3-117,L12403.1_3-117,0.993252361673414
287,Z50736.1_3-119,M36307.1_1-119,1.21804511278195
288,D13617.1_2-117,M11541.1_4-119,0.957692307692308
289,X55514.2_3882-3954,K00281.1_1-72,1.23614457831325
290,X70810.2_100844-100773,Z73326.1_1146-1075,1.13211382113821
291,U96110.1_1273-1386,AF493545.1_787-900,0.793969849246231
292,AF073416.1_17-100,AF391263.1_65-148,0.828193832599119
293,M11540.1_3-116,D10527.1_1-120,1.15971223021583
294,M36307.1_1-119,Z11819.1_3-116,1.13229018492176
295,M33891.1_4-123,AF088897.1_10366-10481,0.749462365591398
296,L76407.1_391-643,AF499641.1_391-641,1.0075329566855
297,Z97087.1_19-102,AY046058.1_143-226,0.941919191919192
298,AE008829.1_931-842,X02167.1_268-340,0.877358490566038
299,AY304912.1_1283-1334,AF024243.1_90-141,0.899065420560748
300,AE004221.1_2485-2350,AP005032.1_102031-102127,0.749329758713137
301,AP005280.2_73107-72940,AP005086.1_289389-289519,0.924786324786325
302,L11772.1_1290-1341,AY358060.1_1284-1335,1.06150341685649
303,X12631.1_2020-2087,AC009395.7_99012-98941,1.17543859649123
304,X07924.1_110-197,X13975.1_2575-2637,1.12056074766355
305,AL132709.5_140595-140524,AL132709.5_155570-155499,0.865229110512129
306,M16177.1_4-120,X06843.1_1-119,1.25492468134415
307,AY140122.1_1169-1219,AJ313414.1_46-97,1.0
308,U45463.1_1-334,D29816.1_1-341,0.885860979462875
309,AF010496.1_39869-39652,AF306632.1_382-181,0.84207353827607
310,BX640439.1_206557-206676,AP005956.1_18392-18478,0.826869455006337
311,AP004826.1_205532-205707,AF306669.1_1019-1194,1.08155619596542
312,AY146000.1_2-212,AY146056.1_1-202,0.845328282828283
313,Y11273.1_1139-1211,U25264.1_366-432,0.943181818181818
314,X04465.1_116516-116403,X07106.1_2899-2978,0.691787439613527
315,X61068.1_477-549,J00881.1_210-282,1.10412926391382
316,AE012817.1_569-357,AE015938.1_165030-165211,0.803706972639011
317,AB049092.1_1-360,D31606.1_1-341,0.924324324324324
318,X00432.1_665-732,AJ428514.1_11535-11602,1.1006711409396
319,M73472.1_3-54,AJ535034.1_23-74,1.03266331658291
320,AF254693.1_538-636,U81474.1_411-509,1.00910746812386
321,M35394.1_1-119,X05233.1_1-119,1.09549356223176
322,M16533.1_3-118,X02731.1_3-119,0.978407557354926
323,AE017249.1_124649-124462,AP001509.1_273579-273768,1.08826382153249
324,X15245.1_512-584,X00432.1_532-596,1.24309927360775
325,X12631.1_2088-2158,X57045.1_288-359,1.16315789473684
326,V00160.1_1137-1054,AE003624.2_69897-69824,1.07407407407407
327,M27315.1_3787-3850,M16863.1_577-660,1.19470899470899
328,X02729.1_3021-3135,M34769.1_10-105,0.877034358047016
329,AF543977.1_38-121,U51189.1_871-954,0.891954022988506
330,X56323.1_358-553,X05084.1_1-191,0.995271867612293
331,U14762.1_1-239,AY070176.1_1-277,0.70030737704918
332,AP005044.1_134132-134252,AL591977.1_131463-131588,1.122
333,Y14459.1_388-637,AJ288062.1_207-458,0.97055359246172
334,M73546.1_221-329,AE007798.1_8173-8025,0.759717314487632
335,L38322.1_3-288,AY188094.1_3-196,0.796211251435132
336,AF196734.1_455-511,AF254675.1_395-450,1.01949317738791
337,U32309.1_158-89,X59571.1_319-390,1.28132992327366
338,AY451148.1_146-229,M38429.1_854-937,0.967032967032967
339,AF382005.1_581-651,AF008220.1_6172-6245,1.02248243559719
340,AF286240.1_914-965,AY585268.1_1497-1548,0.935424354243542
341,U40756.1_3688-3391,AP000058.1_196062-195789,0.894019292604502
342,AE016745.1_287368-287470,AL596166.1_166748-166844,1.03068391866913
343,X99948.1_65-148,AB074078.1_95-178,0.875
344,K03160.1_1-118,X00073.1_1-117,1.02314814814815
345,AY451165.1_147-230,AF491240.1_65-148,0.972906403940887
346,M28270.1_1-73,X16401.1_1-69,1.38912133891213
347,AF041274.1_1-191,Z84223.1_1-250,0.830065359477124
348,X71804.1_109-227,X02039.1_3-118,0.944086021505376
349,AP001516.1_246305-246211,AP003190.2_169771-169693,0.946009389671361
350,M10217.1_11492-11561,X61368.1_228-301,1.09562841530055
351,L28912.1_463-561,AY463237.1_28-126,0.925867507886435
352,L11791.1_1290-1341,AY535669.1_171-222,1.03827751196172
353,AY451099.1_148-231,AB044054.1_65-148,0.797619047619048
354,AE004094.1_6414-6545,D90826.1_6621-6743,1.0906892382104
355,AE008848.1_725-797,M55314.1_21-92,1.12972972972973
356,X56981.1_102-383,AP000996.2_169413-169130,0.851255411255411
357,M37162.1_1557-1488,X69098.1_1-73,1.3698296836983
358,AF010496.1_116971-117194,AE010499.1_5969-5796,0.771285475792988
359,AB081366.1_266-517,AJ288062.1_207-458,0.912492456246228
360,AF076475.1_204-287,AB081221.1_65-148,0.83297180043384
361,AE008868.1_12130-12057,AC093311.2_140036-139968,1.13953488372093
362,M22010.1_2934-3006,AF493542.1_6654-6722,1.13429256594724
363,X65986.1_1-303,AF395888.1_197-488,0.838851216593538
364,M35167.1_2-111,X06098.1_1-107,0.889081455805892
365,AY358053.1_1284-1335,AJ286142.1_52-103,1.02696629213483
366,AE007380.1_3446-3534,BX248354.1_27456-27566,0.798479087452471
367,AF543969.1_38-121,Z97125.1_19-102,0.956521739130435
368,AJ550907.1_56-3,Y12833.1_339-285,1.17132867132867
369,AF134704.1_5562-5676,M33892.1_2-110,0.957975460122699
370,X56005.1_1-73,AC084571.1_17976-18047,1.16990291262136
371,BX293564.5_22408-22462,BX005419.6_146394-146446,0.901234567901234
372,AY463227.1_28-126,U80536.1_411-509,0.930578512396694
373,AF490529.1_11834-11766,J01390.1_12505-12576,1.50522648083624
374,AC009323.4_37955-37874,D85271.1_587-657,0.981171548117155
375,X05535.1_1-118,M10438.1_2-120,1.1001221001221
376,AF511950.1_9101-9166,AB119282.1_9178-9243,0.798807749627422
377,AC002512.1_76041-75744,AB073218.1_1-299,1.10206896551724
378,Z29261.1_1-303,X13958.1_1-301,0.979472140762464
379,K03454.1_400-483,AF484493.1_59-142,0.929824561403509
380,AF543972.1_38-121,AB074074.1_101-184,0.888888888888889
381,X16886.1_999-1070,M18050.1_100-172,1.23056300268097
382,X12631.1_1426-1497,M68929.1_48611-48684,1.1138014527845
383,AL831748.7_183565-183511,AC144486.2_135360-135415,0.91
384,X69332.1_1-142,Z11883.1_2840-2993,0.906090026478376
385,L34377.1_1-279,AY070198.1_1-277,0.873307543520309
386,M16173.1_3-119,M16531.1_2-121,1.03876404494382
387,X07132.1_1560-1673,M17211.1_1733-1846,0.868894601542416
388,AJ577594.1_7312-7433,U57056.1_7280-7400,1.03473227206946
389,AF096875.1_5504-5568,AF072865.1_1887-1947,1.07451923076923
390,AY145902.1_1-221,Z36519.1_1-205,0.832849680789321
391,X03924.1_17-83,AB042524.1_9391-9458,1.56024096385542
392,D31723.1_1-254,U45463.1_1-334,0.919043238270469
393,X12643.1_106-207,AE014879.1_5303-5375,0.938110749185668
394,AF110967.1_341-424,AY008718.1_61-144,0.866071428571429
395,AY044867.1_5094-5130,D49766.1_1040-1076,0.958984375
396,M20952.1_1-71,AC084429.5_20418-20485,1.13675213675214
397,AE004237.1_2976-2903,AJ270287.1_567-495,1.16838487972509
398,M34772.1_1-114,M34774.1_2-116,0.994736842105263
399,AF067200.1_16-89,X16886.1_923-857,0.932178217821782
400,X90410.1_15-165,X54512.1_4422-4569,0.853836784409257
401,AB049094.1_9322-9358,AB057690.1_1720-1756,1.01972386587771
402,AB035923.1_6106-6178,M19493.1_340-412,1.12861736334405
403,AF005494.1_197-280,AY451195.1_147-230,0.938110749185668
404,X55840.1_268-462,X69326.1_1-193,0.963237518910741
405,M76573.1_4-118,K02362.1_1-121,1.0843989769821
406,X52392.1_3967-4040,Z54587.1_126-45,1.0
407,AF490528.1_1519-1448,X07395.1_103-176,1.25162689804772
408,AF311939.1_395-646,L76409.1_393-643,0.947306791569087
409,L25918.1_1-181,X51372.1_210-400,0.95902228612509
410,X06688.1_3-118,X02039.1_3-118,0.845386533665835
411,AJ237565.1_2095-2146,AJ271370.1_1656-1707,1.04375
412,X62857.1_1-121,M11715.1_3-118,0.838329238329238
413,AF134583.1_1599-1666,X55514.2_4257-4189,1.30103092783505
414,AF004394.1_2085-2136,AY304929.1_1282-1333,0.97962962962963
415,AF233324.1_37223-37296,X70810.2_102843-102771,1.1787610619469
416,AY535675.1_171-222,AY463223.1_1522-1573,1.0
417,X67736.1_4837-4923,X16745.1_1-74,1.07060755336617
418,AB052606.1_455-510,U72105.1_304-360,1.07142857142857
419,AE017205.1_106071-105970,AE012550.1_9704-9824,0.74253164556962
420,AF084708.1_65-148,AF155541.1_65-148,0.959322033898305
421,AB057692.1_1528-1593,AF207757.1_9114-9179,0.985185185185185
422,X63784.1_412-602,X04243.1_69-260,1.058599695586
423,K02348.1_1-119,X00378.1_2-120,1.11644535240041
424,AC068900.3_7333-7404,U24159.1_431-359,1.21863799283154
425,M10432.1_1-119,AJ131590.1_3-114,1.12040816326531
426,M23363.1_611-683,X07778.1_115-45,1.00732064421669
